,asset,sim_name,scen_id,std_unit,w_sharp,sharp_ratio_3m,sharp_ratio_6m,sharp_ratio_1y,sharp_ratio_2y,sharp_ratio_3y,tot_pnl_3m,tot_pnl_6m,tot_pnl_1y,tot_pnl_2y,tot_pnl_3y,tot_cost_3m,tot_cost_6m,tot_cost_1y,tot_cost_2y,tot_cost_3y,par_name0,par_value0,par_name1,par_value1,par_name2,par_value2,par_name3,par_value3,par_name4,par_value4,freq,channels,ma_chan,price_mode,lookbacks,ratios,trend_factor,lot_size,min_rng,vol_ratio,volumes
0,rb,DTvec_180214,84,632.732,1.872462,1.44672,1.88869,1.99011,1.7467,1.48056,278.0,919.0,1991.0,3489.0,3700.0,127.0,243.0,473.0,931.0,1398.0,param,"[0.2, 2, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
1,rb,DTvec_180214,85,630.666,1.6064,0.933431,1.85676,1.7018,1.38582,1.17942,178.0,877.0,1697.0,2775.0,2951.0,107.0,199.0,385.0,791.0,1174.0,param,"[0.2, 2, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
2,rb,DTvec_180214,42,651.156,1.57232,-0.239341,1.56652,1.50062,1.64692,1.53478,-48.0,763.0,1545.0,3367.0,3910.0,95.0,159.0,305.0,607.0,882.0,param,"[0.5, 1, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,1,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
3,rb,DTasym_180214,59,645.922,1.553796,-1.09225,1.23926,1.55782,1.70704,1.54211,-216.0,597.0,1591.0,3433.0,3865.0,99.0,167.0,309.0,619.0,914.0,param,"[0.2, 2, 0.5, 0.5]",machan,20,mode,TP,,0,,0,1,0,20,TP,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
4,rb,DTvec_180214,90,641.002,1.500496,0.124935,1.16146,1.41783,1.75268,1.47965,24.0,563.0,1437.0,3445.0,3644.0,115.0,211.0,389.0,759.0,1146.0,param,"[0.25, 2, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.25,0.5,10,0.0035,"[1.0, 0.0]",[1]
5,rb,DTvec_180214,91,654.976,1.3670802,-0.04325,0.666481,1.45324,1.63122,1.49903,-8.0,335.0,1505.0,3307.0,3789.0,99.0,183.0,333.0,655.0,970.0,param,"[0.25, 2, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.25,0.5,10,0.0035,"[1.0, 0.0]",[1]
6,rb,DTvec_180214,0,659.083,1.3490314,-0.615286,0.866997,1.24651,1.69257,1.54478,-126.0,431.0,1299.0,3461.0,3944.0,95.0,159.0,289.0,559.0,814.0,param,"[0.5, 0, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,0,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
7,rb,DTvec_180214,97,649.451,1.3469322,0.0,0.987161,1.17346,1.70029,1.48203,0.0,477.0,1205.0,3389.0,3691.0,87.0,155.0,293.0,555.0,826.0,param,"[0.3, 2, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,2,0.3,0.5,10,0.0035,"[1.0, 0.0]",[1]
8,rb,DTvec_180214,96,657.452,1.3172932,-0.316586,0.649446,1.26692,1.70159,1.52113,-62.0,321.0,1317.0,3429.0,3824.0,99.0,183.0,333.0,635.0,942.0,param,"[0.3, 2, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.3,0.5,10,0.0035,"[1.0, 0.0]",[1]
9,rb,DTasym_180214,56,642.608,1.2711666,-0.127744,0.691553,1.11706,1.71508,1.52448,-24.0,331.0,1135.0,3415.0,3796.0,111.0,199.0,377.0,719.0,1054.0,param,"[0.2, 2, 0.5, 0.5]",machan,10,mode,HL,,0,,0,1,0,10,HL,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
10,rb,DTvec_180214,126,669.51,1.263754,0.619196,1.67947,1.07595,1.2437,1.11087,118.0,799.0,1139.0,2595.0,2884.0,91.0,167.0,313.0,607.0,906.0,param,"[0.2, 4, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,4,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
11,rb,DTvec_180214,49,642.257,1.247722,-0.643378,1.12543,1.1413,1.41529,1.33855,-128.0,539.0,1159.0,2917.0,3439.0,63.0,107.0,221.0,443.0,650.0,param,"[0.6, 1, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,1,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
12,rb,DTasym_180214,57,653.539,1.2417566,-0.326645,0.949303,1.16225,1.46749,1.34903,-64.0,467.0,1201.0,2961.0,3389.0,95.0,167.0,317.0,627.0,906.0,param,"[0.2, 2, 0.5, 0.5]",machan,10,mode,TP,,0,,0,1,0,10,TP,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
13,rb,DTasym_180214,62,653.691,1.216933,-1.46614,0.879565,1.10199,1.50056,1.39704,-288.0,431.0,1139.0,3049.0,3538.0,99.0,163.0,301.0,579.0,870.0,param,"[0.25, 2, 0.5, 0.5]",machan,20,mode,HL,,0,,0,1,0,20,HL,2,0.25,0.5,10,0.0035,"[1.0, 0.0]",[1]
14,rb,DTvec_180214,127,678.501,1.105907,-1.03115,0.752555,1.03187,1.35662,1.2493,-208.0,383.0,1107.0,2807.0,3215.0,83.0,147.0,269.0,527.0,778.0,param,"[0.2, 4, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,4,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
15,rb,DTvec_180214,48,650.307,1.0988782,-1.23089,0.400871,1.19525,1.35151,1.30876,-230.0,189.0,1229.0,2849.0,3434.0,79.0,131.0,245.0,495.0,722.0,param,"[0.6, 1, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,1,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
16,rb,DTvec_180214,120,649.442,1.0956132,-0.93714,0.627986,1.00987,1.41517,1.26263,-198.0,297.0,1037.0,2873.0,3204.0,59.0,99.0,185.0,351.0,526.0,param,"[0.5, 2, 0.5, 0.0]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
17,rb,DTvec_180214,7,644.588,1.0784154,-0.856171,0.589833,0.999812,1.40131,1.26952,-172.0,291.0,1019.0,2857.0,3229.0,63.0,107.0,205.0,407.0,610.0,param,"[0.6, 0, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,0,0.6,0.5,10,0.0035,"[1.0, 0.0]",[1]
18,rb,DTvec_180214,43,660.895,0.9550716,-1.11157,0.540828,0.927295,1.18997,1.14529,-212.0,259.0,969.0,2499.0,2993.0,83.0,143.0,273.0,543.0,778.0,param,"[0.5, 1, 0.5, 0.0]",machan,0,mode,TP,,0,,0,1,0,0,TP,1,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
19,rb,DTasym_180214,58,655.601,0.9478106,-0.608517,0.180263,0.741845,1.53755,1.36822,-116.0,87.0,769.0,3095.0,3438.0,115.0,211.0,397.0,739.0,1102.0,param,"[0.2, 2, 0.5, 0.5]",machan,20,mode,HL,,0,,0,1,0,20,HL,2,0.2,0.5,10,0.0035,"[1.0, 0.0]",[1]
20,rb,DT4sp_180214,0,574.762,2.1852898,1.27493,0.951569,1.99497,2.99247,2.47095,240.0,451.0,1813.0,5457.0,5698.0,201.0,401.0,771.0,1459.0,2168.0,param,"[0.5, 2, 0.5, 0.5]",machan,0,mode,HL,,0,,0,1,0,0,HL,2,0.5,0.5,10,0.0035,"[1.0, 0.0]",[1]
